t;p.can_tdist;p.can_tfuel
1530259317;3881300;14190
1530259318;3881300;14190
1530259325;3881400;14190
1530267233;3881400;14190
1530267233;3881400;14190
1530267240;3881400;14196
1530267247;3881400;14201
1530267248;3881400;14201
1530267250;3881400;14201
1530267251;3881400;14201
1530267260;3881500;14224
1530267264;3881500;14229
1530267273;3881600;14235
1530267280;3881700;14246
1530267302;3882100;14296
1530267333;3882500;14324
1530267348;3882700;14352
1530267365;3883000;14369
1530267375;3883100;14380
1530267378;3883100;14386
1530267382;3883100;14392
1530267385;3883100;14397
1530267389;3883100;14397
1530267391;3883100;14397
1530267411;3883200;14403
1530267422;3883200;14408
1530267423;3883200;14408
1530267429;3883200;14414
1530267456;3883300;14425
1530267467;3883300;14425
1530267470;3883300;14425
1530267472;3883300;14431
1530267474;3883300;14431
1530267480;3883300;14431
1530267490;3883300;14431
1530267517;3883300;14442
1530267527;3883300;14442
1530267579;3883300;14442
1530267590;3883300;14442
1530267601;3883300;14442
1530267612;3883300;14442
1530267623;3883300;14442
1530267634;3883300;14442
1530267645;3883300;14442
1530267656;3883300;14442
1530267667;3883300;14442
1530267677;3883300;14442
1530267693;3885200;14520
1530267723;3885200;14520
1530267734;3885200;14520
1530267745;3885200;14520
1530267756;3885200;14520
1530267767;3885200;14520
1530267778;3885200;14520
1530267786;3885200;14520
1530267790;3886100;14571
1530267850;3887200;14627
1530267864;3887300;14632
1530267876;3887500;14638
1530267881;3887500;14638
1530267883;3887600;14638
1530267886;3887600;14638
1530267892;3887600;14649
1530267896;3887700;14649
1530267952;3888100;14677
1530267958;3888200;14683
1530267960;3888200;14688
1530267966;3888200;14694
1530267980;3888300;14694
1530267982;3888300;14694
1530267983;3888300;14694
1530270900;3888300;14694
1530270901;3888300;14694
1530270904;3888300;14705
1530270910;3888400;14711
1530270913;3888400;14711
1530270915;3888400;14716
1530270917;3888400;14722
1530270931;3888500;14733
1530270932;3888500;14739
1530270938;3888500;14739
1530270940;3888600;14744
1530270987;3889000;14772
1530270995;3889100;14772
1530271016;3889100;14778
1530271017;3889100;14778
1530271025;3889200;14795
1530271085;3890300;14845
1530271095;3890500;14845
1530271098;3890600;14845
1530271122;3890900;14862
1530271125;3890900;14862
1530271132;3891000;14868
1530271193;3892000;14901
1530271205;3892200;14901
1530271207;3892200;14901
1530271217;3892300;14912
1530271242;3892600;14924
1530271245;3892600;14924
1530271248;3892700;14929
1530271256;3892800;14935
1530271284;3893200;14940
1530271286;3893200;14946
1530271299;3893300;14952
1530271301;3893300;14952
1530271354;3893800;14974
1530271357;3893800;14974
1530292977;3893800;14974
1530314598;3893800;14974
1530336213;3893800;14980
1530350532;3893800;14980
1530350532;3893800;14980
1530350543;3893900;14985
1530350544;3893900;14985
1530350548;3893900;14985
1530350554;3893900;14985
1530350555;3893900;14985
1530350566;3894000;15002
1530350570;3894000;15008
1530350578;3894100;15013
1530350582;3894100;15013
1530350583;3894200;15019
1530350589;3894200;15030
1530350619;3894600;15064
1530350624;3894700;15075
1530350650;3895100;15103
1530350670;3895500;15120
1530350673;3895500;15120
1530350684;3895500;15125
1530350685;3895500;15125
1530350716;3895900;15153
1530350726;3896000;15159
1530350759;3896400;15181
1530350809;3897000;15237
1530350868;3897800;15260
1530350896;3898100;15271
1530350934;3898100;15282
1530350937;3898200;15299
1530350952;3898300;15321
1530350954;3898300;15321
1530350955;3898300;15327
1530350958;3898300;15332
1530350960;3898300;15338
1530350978;3898400;15344
1530350979;3898400;15344
1530351155;3898400;15344
1530353755;3898400;15344
1530358229;3898400;15344
1530358229;3898400;15344
1530358235;3898400;15349
1530358236;3898400;15349
1530358241;3898400;15355
1530358247;3898400;15355
1530358250;3898400;15355
1530358254;3898400;15355
1530358257;3898400;15355
1530358281;3898400;15360
1530358293;3898500;15372
1530358314;3898600;15377
1530358316;3898600;15377
1530358376;3899600;15456
1530358411;3900200;15472
1530358471;3901000;15534
1530358482;3901200;15545
1530358527;3901800;15579
1530358551;3902100;15612
1530358553;3902100;15624
1530358564;3902200;15640
1530358572;3902400;15657
1530358581;3902500;15663
1530358583;3902500;15663
1530358585;3902500;15668
1530358587;3902500;15668
1530358588;3902600;15668
1530358594;3902600;15680
1530358605;3902700;15691
1530358611;3902800;15696
1530358641;3902800;15708
1530358644;3902800;15708
1530358646;3902800;15708
1530358649;3902800;15713
1530358653;3902900;15719
1530358661;3902900;15724
1530358662;3902900;15724
1530358676;3903100;15741
1530358681;3903100;15747
1530358682;3903100;15747
1530358687;3903200;15752
1530358710;3903500;15786
1530358734;3903900;15825
1530358751;3904100;15848
1530358772;3904400;15859
1530358794;3904500;15876
1530358798;3904500;15876
1530358800;3904600;15881
1530358801;3904600;15881
1530358802;3904600;15881
1530358814;3904600;15881
1530360285;3904600;15881
1530360285;3904600;15881
1530360287;3904600;15887
1530360292;3904600;15892
1530360300;3904600;15904
1530360360;3905700;15976
1530360388;3906200;16010
1530360390;3906200;16010
1530360398;3906300;16010
1530360400;3906300;16016
1530360402;3906300;16016
1530360407;3906300;16016
1530360409;3906300;16016
1530360410;3906300;16016
1530360419;3906300;16021
1530360702;3906300;16021
1530360702;3906300;16021
1530360709;3906300;16021
1530360710;3906300;16021
1530360714;3906400;16027
1530360719;3906400;16027
1530360721;3906400;16032
1530360722;3906400;16032
1530360725;3906400;16032
1530360727;3906400;16032
1530360742;3906500;16038
1530360768;3906800;16083
1530360777;3906900;16083
1530360779;3906900;16088
1530360789;3907100;16105
1530360812;3907400;16122
1530360815;3907400;16128
1530360845;3907900;16161
1530360848;3908000;16161
1530360862;3908100;16178
1530360917;3908600;16206
1530360929;3908600;16217
1530376975;3908600;16217
1530376975;3908600;16217
1530376996;3908600;16223
1530377001;3908600;16228
1530377040;3908600;16240
1530377042;3908600;16240
1530377054;3908700;16245
1530377056;3908700;16251
1530377067;3908900;16273
1530377071;3908900;16273
1530377072;3908900;16273
1530377076;3909000;16279
1530377097;3909300;16312
1530377107;3909400;16318
1530377108;3909400;16318
1530377117;3909600;16346
1530377123;3909700;16346
1530377137;3910000;16368
1530377162;3910300;16408
1530377189;3910700;16452
1530377198;3910800;16458
1530377218;3911200;16520
1530377250;3911800;16542
1530377310;3912900;16587
1530377315;3912900;16587
1530377366;3912900;16620
1530377368;3912900;16620
1530377372;3913000;16626
1530377386;3913100;16654
1530377399;3913300;16716
1530377424;3913700;16772
1530377427;3913700;16783
1530377439;3913900;16833
1530377440;3913900;16833
1530377454;3914100;16878
1530377457;3914100;16884
1530377460;3914200;16889
1530377462;3914200;16889
1530377476;3914300;16912
1530377479;3914400;16912
1530377481;3914400;16912
1530377484;3914400;16917
1530377494;3914500;16928
1530377497;3914500;16928
1530377500;3914500;16934
1530377508;3914600;16945
1530377520;3914700;16956
1530377522;3914800;16962
1530377524;3914800;16962
1530377535;3914900;16984
1530377538;3914900;17007
1530377548;3915100;17057
1530377550;3915200;17063
1530377567;3915500;17147
1530377574;3915600;17152
1530377575;3915600;17169
1530377584;3915700;17186
1530377591;3915800;17197
1530377601;3915900;17231
1530377602;3915900;17231
1530377604;3915900;17236
1530377619;3916000;17236
1530377653;3916000;17248
1530387346;3916000;17248
1530387346;3916000;17248
1530387383;3916000;17264
1530387404;3916000;17264
1530387446;3916100;17276
1530387448;3916100;17276
1530387454;3916100;17276
1530387487;3916100;17281
1530387490;3916100;17281
1530387508;3916100;17287
1530389154;3916100;17287
1530389154;3916100;17287
1530389164;3916100;17292
1530389175;3916100;17292
1530389179;3916100;17304
1530389192;3916300;17315
1530389195;3916300;17320
1530389203;3916400;17320
1530389238;3916500;17337
1530389241;3916500;17337
1530389261;3916600;17354
1530389270;3916700;17354
1530389274;3916800;17360
1530389295;3917100;17371
1530389310;3917200;17376
1530389319;3917300;17388
1530389321;3917400;17393
1530389328;3917500;17393
1530389333;3917600;17404
1530389339;3917600;17421
1530389342;3917700;17421
1530389344;3917700;17427
1530389347;3917700;17427
1530389349;3917800;17427
1530389363;3917900;17444
1530389365;3917900;17444
1530389372;3918000;17444
1530389373;3918000;17449
1530389375;3918000;17455
1530389386;3918200;17466
1530389388;3918200;17477
1530389404;3918400;17488
1530389405;3918400;17494
1530389406;3918400;17505
1530389410;3918500;17516
1530389463;3919100;17533
1530389471;3919200;17533
1530389487;3919200;17544
1530389488;3919200;17550
1530389514;3919500;17567
1530389515;3919500;17567
1530389517;3919500;17572
1530389523;3919500;17572
1530389527;3919500;17578
1530389528;3919500;17578
1530389529;3919600;17584
1530389547;3919700;17589
1530389551;3919800;17595
1530389555;3919800;17595
1530389568;3919900;17600
1530389595;3920100;17612
1530389609;3920200;17617
1530389610;3920200;17617
1530389612;3920200;17617
1530389641;3920300;17628
1530389703;3920900;17656
1530389763;3921500;17707
1530389781;3921700;17740
1530389782;3921700;17752
1530389783;3921700;17752
1530389794;3921900;17780
1530389803;3922100;17791
1530389808;3922100;17791
1530389828;3922500;17824
1530389859;3922900;17852
1530389871;3923000;17869
1530389881;3923100;17869
1530389884;3923200;17880
1530389918;3923400;17892
1530389933;3923500;17897
1530389937;3923500;17897
1530389940;3923500;17903
1530389941;3923600;17908
1530389956;3923700;17936
1530389959;3923700;17936
1530389974;3923800;17936
1530411593;3923800;17936
1530430847;3923800;17936
1530430847;3923800;17936
1530430867;3923800;17959
1530430877;3923900;17959
1530430881;3923900;17959
1530430883;3923900;17964
1530430885;3923900;17964
1530430899;3923900;17970
1530430917;3924100;17981
1530430924;3924100;17987
1530430925;3924100;17987
1530430931;3924200;17992
1530430960;3924500;18009
1530430972;3924600;18015
1530430984;3924700;18032
1530431001;3924900;18037
1530431037;3925500;18060
1530431040;3925500;18060
1530431062;3925500;18060
1530431073;3925500;18060
1530431084;3925500;18060
1530431095;3925500;18060
1530431106;3925500;18060
1530431106;3926400;18116
1530431153;3927100;18149
1530431194;3927700;18172
1530431203;3927800;18177
1530431217;3928000;18183
1530431221;3928100;18183
1530431229;3928100;18183
1530431244;3928100;18183
1530431244;3928100;18183
1530431305;3929000;18250
1530431365;3930100;18278
1530431398;3930500;18289
1530431403;3930600;18289
1530431404;3930600;18295
1530431406;3930600;18295
1530431412;3930600;18295
1530431426;3930600;18300
1530431441;3930600;18306
